X Y Z Gravity
854965.875000 987973.125000 -4275.000000 -0.200000
855000.875000 987973.125000 -4275.000000 -0.200000
854335.875000 988010.125000 -4275.000000 -0.200000
854370.875000 988010.125000 -4275.000000 -0.200000
854405.875000 988010.125000 -4275.000000 -0.200000
854440.875000 988010.125000 -4275.000000 -0.200000
854475.875000 988010.125000 -4275.000000 -0.200000
854510.875000 988010.125000 -4275.000000 -0.200000
854545.875000 988010.125000 -4275.000000 -0.200000
854580.875000 988010.125000 -4275.000000 -0.200000
854615.875000 988010.125000 -4275.000000 -0.200000
854650.875000 988010.125000 -4275.000000 -0.200000
854685.875000 988010.125000 -4275.000000 -0.200000
854720.875000 988010.125000 -4275.000000 -0.200000
854755.875000 988010.125000 -4275.000000 -0.200000
854790.875000 988010.125000 -4275.000000 -0.200000
854825.875000 988010.125000 -4275.000000 -0.200000
854860.875000 988010.125000 -4275.000000 -0.200000
854895.875000 988010.125000 -4275.000000 -0.200000
854930.875000 988010.125000 -4275.000000 -0.200000
854965.875000 988010.125000 -4275.000000 -0.200000
855000.875000 988010.125000 -4275.000000 -0.200000
854335.875000 988047.125000 -4275.000000 -0.200000
854370.875000 988047.125000 -4275.000000 -0.200000
854405.875000 988047.125000 -4275.000000 -0.200000
854440.875000 988047.125000 -4275.000000 -0.200000
854475.875000 988047.125000 -4275.000000 -0.200000
854510.875000 988047.125000 -4275.000000 -0.200000
854545.875000 988047.125000 -4275.000000 -0.200000
854580.875000 988047.125000 -4275.000000 -0.200000
854615.875000 988047.125000 -4275.000000 -0.200000
854650.875000 988047.125000 -4275.000000 -0.200000
854685.875000 988047.125000 -4275.000000 -0.200000
854720.875000 988047.125000 -4275.000000 -0.200000
854755.875000 988047.125000 -4275.000000 -0.200000
854790.875000 988047.125000 -4275.000000 -0.200000
854825.875000 988047.125000 -4275.000000 -0.200000
854860.875000 988047.125000 -4275.000000 -0.200000
854895.875000 988047.125000 -4275.000000 -0.200000
854930.875000 988047.125000 -4275.000000 -0.200000
854965.875000 988047.125000 -4275.000000 -0.200000
855000.875000 988047.125000 -4275.000000 -0.200000
854300.875000 988084.125000 -4275.000000 -0.200000
854335.875000 988084.125000 -4275.000000 -0.200000
854370.875000 988084.125000 -4275.000000 -0.200000
854405.875000 988084.125000 -4275.000000 -0.200000
854440.875000 988084.125000 -4275.000000 -0.200000
854475.875000 988084.125000 -4275.000000 -0.200000
854510.875000 988084.125000 -4275.000000 -0.200000
854545.875000 988084.125000 -4275.000000 -0.200000
854580.875000 988084.125000 -4275.000000 -0.200000
854615.875000 988084.125000 -4275.000000 -0.200000
854650.875000 988084.125000 -4275.000000 -0.200000
854685.875000 988084.125000 -4275.000000 -0.200000
854720.875000 988084.125000 -4275.000000 -0.200000
854755.875000 988084.125000 -4275.000000 -0.200000
854790.875000 988084.125000 -4275.000000 -0.200000
854825.875000 988084.125000 -4275.000000 -0.200000
854860.875000 988084.125000 -4275.000000 -0.200000
854895.875000 988084.125000 -4275.000000 -0.200000
854930.875000 988084.125000 -4275.000000 -0.200000
854965.875000 988084.125000 -4275.000000 -0.200000
855000.875000 988084.125000 -4275.000000 -0.200000
854300.875000 988121.125000 -4275.000000 -0.200000
854335.875000 988121.125000 -4275.000000 -0.200000
854370.875000 988121.125000 -4275.000000 -0.200000
854405.875000 988121.125000 -4275.000000 -0.200000
854440.875000 988121.125000 -4275.000000 -0.200000
854475.875000 988121.125000 -4275.000000 -0.200000
854510.875000 988121.125000 -4275.000000 -0.200000
854545.875000 988121.125000 -4275.000000 -0.200000
854580.875000 988121.125000 -4275.000000 -0.200000
854615.875000 988121.125000 -4275.000000 -0.200000
854650.875000 988121.125000 -4275.000000 -0.200000
854685.875000 988121.125000 -4275.000000 -0.200000
854720.875000 988121.125000 -4275.000000 -0.200000
854755.875000 988121.125000 -4275.000000 -0.200000
854790.875000 988121.125000 -4275.000000 -0.200000
854825.875000 988121.125000 -4275.000000 -0.200000
854860.875000 988121.125000 -4275.000000 -0.200000
854895.875000 988121.125000 -4275.000000 -0.200000
854930.875000 988121.125000 -4275.000000 -0.200000
854965.875000 988121.125000 -4275.000000 -0.200000
854300.875000 988158.125000 -4275.000000 -0.200000
854335.875000 988158.125000 -4275.000000 -0.200000
854370.875000 988158.125000 -4275.000000 -0.200000
854405.875000 988158.125000 -4275.000000 -0.200000
854440.875000 988158.125000 -4275.000000 -0.200000
854475.875000 988158.125000 -4275.000000 -0.200000
854510.875000 988158.125000 -4275.000000 -0.200000
854545.875000 988158.125000 -4275.000000 -0.200000
854580.875000 988158.125000 -4275.000000 -0.200000
854615.875000 988158.125000 -4275.000000 -0.200000
854650.875000 988158.125000 -4275.000000 -0.200000
854685.875000 988158.125000 -4275.000000 -0.200000
854720.875000 988158.125000 -4275.000000 -0.200000
854755.875000 988158.125000 -4275.000000 -0.200000
854790.875000 988158.125000 -4275.000000 -0.200000
854825.875000 988158.125000 -4275.000000 -0.200000
854860.875000 988158.125000 -4275.000000 -0.200000
854895.875000 988158.125000 -4275.000000 -0.200000
854930.875000 988158.125000 -4275.000000 -0.200000
854965.875000 988158.125000 -4275.000000 -0.200000
854300.875000 988195.125000 -4275.000000 -0.200000
854335.875000 988195.125000 -4275.000000 -0.200000
854370.875000 988195.125000 -4275.000000 -0.200000
854405.875000 988195.125000 -4275.000000 -0.200000
854440.875000 988195.125000 -4275.000000 -0.200000
854475.875000 988195.125000 -4275.000000 -0.200000
854510.875000 988195.125000 -4275.000000 -0.200000
854545.875000 988195.125000 -4275.000000 -0.200000
854580.875000 988195.125000 -4275.000000 -0.200000
854615.875000 988195.125000 -4275.000000 -0.200000
854650.875000 988195.125000 -4275.000000 -0.200000
854685.875000 988195.125000 -4275.000000 -0.200000
854720.875000 988195.125000 -4275.000000 -0.200000
854755.875000 988195.125000 -4275.000000 -0.200000
854790.875000 988195.125000 -4275.000000 -0.200000
854825.875000 988195.125000 -4275.000000 -0.200000
854860.875000 988195.125000 -4275.000000 -0.200000
854895.875000 988195.125000 -4275.000000 -0.200000
854930.875000 988195.125000 -4275.000000 -0.200000
854335.875000 988232.125000 -4275.000000 -0.200000
854370.875000 988232.125000 -4275.000000 -0.200000
854405.875000 988232.125000 -4275.000000 -0.200000
854440.875000 988232.125000 -4275.000000 -0.200000
854475.875000 988232.125000 -4275.000000 -0.200000
854510.875000 988232.125000 -4275.000000 -0.200000
854545.875000 988232.125000 -4275.000000 -0.200000
854580.875000 988232.125000 -4275.000000 -0.200000
854615.875000 988232.125000 -4275.000000 -0.200000
854650.875000 988232.125000 -4275.000000 -0.200000
854685.875000 988232.125000 -4275.000000 -0.200000
854720.875000 988232.125000 -4275.000000 -0.200000
854755.875000 988232.125000 -4275.000000 -0.200000
854790.875000 988232.125000 -4275.000000 -0.200000
854825.875000 988232.125000 -4275.000000 -0.200000
854860.875000 988232.125000 -4275.000000 -0.200000
854895.875000 988232.125000 -4275.000000 -0.200000
854930.875000 988232.125000 -4275.000000 -0.200000
854335.875000 988269.125000 -4275.000000 -0.200000
854370.875000 988269.125000 -4275.000000 -0.200000
854405.875000 988269.125000 -4275.000000 -0.200000
854440.875000 988269.125000 -4275.000000 -0.200000
854475.875000 988269.125000 -4275.000000 -0.200000
854510.875000 988269.125000 -4275.000000 -0.200000
854545.875000 988269.125000 -4275.000000 -0.200000
854580.875000 988269.125000 -4275.000000 -0.200000
854615.875000 988269.125000 -4275.000000 -0.200000
854650.875000 988269.125000 -4275.000000 -0.200000
854685.875000 988269.125000 -4275.000000 -0.200000
854720.875000 988269.125000 -4275.000000 -0.200000
854755.875000 988269.125000 -4275.000000 -0.200000
854790.875000 988269.125000 -4275.000000 -0.200000
854825.875000 988269.125000 -4275.000000 -0.200000
854860.875000 988269.125000 -4275.000000 -0.200000
854895.875000 988269.125000 -4275.000000 -0.200000
854370.875000 988306.125000 -4275.000000 -0.200000
854405.875000 988306.125000 -4275.000000 -0.200000
854440.875000 988306.125000 -4275.000000 -0.200000
854475.875000 988306.125000 -4275.000000 -0.200000
854510.875000 988306.125000 -4275.000000 -0.200000
854545.875000 988306.125000 -4275.000000 -0.200000
854580.875000 988306.125000 -4275.000000 -0.200000
854615.875000 988306.125000 -4275.000000 -0.200000
854650.875000 988306.125000 -4275.000000 -0.200000
854685.875000 988306.125000 -4275.000000 -0.200000
854720.875000 988306.125000 -4275.000000 -0.200000
854755.875000 988306.125000 -4275.000000 -0.200000
854790.875000 988306.125000 -4275.000000 -0.200000
854825.875000 988306.125000 -4275.000000 -0.200000
854860.875000 988306.125000 -4275.000000 -0.200000
854405.875000 988343.125000 -4275.000000 -0.200000
854440.875000 988343.125000 -4275.000000 -0.200000
854475.875000 988343.125000 -4275.000000 -0.200000
854510.875000 988343.125000 -4275.000000 -0.200000
854545.875000 988343.125000 -4275.000000 -0.200000
854580.875000 988343.125000 -4275.000000 -0.200000
854615.875000 988343.125000 -4275.000000 -0.200000
854650.875000 988343.125000 -4275.000000 -0.200000
854685.875000 988343.125000 -4275.000000 -0.200000
854720.875000 988343.125000 -4275.000000 -0.200000
854755.875000 988343.125000 -4275.000000 -0.200000
854790.875000 988343.125000 -4275.000000 -0.200000
854475.875000 988389.375000 -4275.000000 -0.200000
854510.875000 988389.375000 -4275.000000 -0.200000
854545.875000 988389.375000 -4275.000000 -0.200000
854580.875000 988389.375000 -4275.000000 -0.200000
854615.875000 988389.375000 -4275.000000 -0.200000
854650.875000 988389.375000 -4275.000000 -0.200000
854685.875000 988389.375000 -4275.000000 -0.200000
854650.875000 987778.875000 -4075.000000 -0.200000
854685.875000 987778.875000 -4075.000000 -0.200000
854720.875000 987778.875000 -4075.000000 -0.200000
854755.875000 987778.875000 -4075.000000 -0.200000
854790.875000 987778.875000 -4075.000000 -0.200000
854825.875000 987778.875000 -4075.000000 -0.200000
854545.875000 987825.125000 -4075.000000 -0.200000
854580.875000 987825.125000 -4075.000000 -0.200000
854615.875000 987825.125000 -4075.000000 -0.200000
854650.875000 987825.125000 -4075.000000 -0.200000
854685.875000 987825.125000 -4075.000000 -0.200000
854720.875000 987825.125000 -4075.000000 -0.200000
854755.875000 987825.125000 -4075.000000 -0.200000
854790.875000 987825.125000 -4075.000000 -0.200000
854825.875000 987825.125000 -4075.000000 -0.200000
854860.875000 987825.125000 -4075.000000 -0.200000
854895.875000 987825.125000 -4075.000000 -0.200000
854930.875000 987825.125000 -4075.000000 -0.200000
854475.875000 987862.125000 -4075.000000 -0.200000
854510.875000 987862.125000 -4075.000000 -0.200000
854545.875000 987862.125000 -4075.000000 -0.200000
854580.875000 987862.125000 -4075.000000 -0.200000
854615.875000 987862.125000 -4075.000000 -0.200000
854650.875000 987862.125000 -4075.000000 -0.200000
854685.875000 987862.125000 -4075.000000 -0.200000
854720.875000 987862.125000 -4075.000000 -0.200000
854755.875000 987862.125000 -4075.000000 -0.200000
854790.875000 987862.125000 -4075.000000 -0.200000
854825.875000 987862.125000 -4075.000000 -0.200000
854860.875000 987862.125000 -4075.000000 -0.200000
854895.875000 987862.125000 -4075.000000 -0.200000
854930.875000 987862.125000 -4075.000000 -0.200000
854965.875000 987862.125000 -4075.000000 -0.200000
854440.875000 987899.125000 -4075.000000 -0.200000
854475.875000 987899.125000 -4075.000000 -0.200000
854510.875000 987899.125000 -4075.000000 -0.200000
854545.875000 987899.125000 -4075.000000 -0.200000
854580.875000 987899.125000 -4075.000000 -0.200000
854615.875000 987899.125000 -4075.000000 -0.200000
854650.875000 987899.125000 -4075.000000 -0.200000
854685.875000 987899.125000 -4075.000000 -0.200000
854720.875000 987899.125000 -4075.000000 -0.200000
854755.875000 987899.125000 -4075.000000 -0.200000
854790.875000 987899.125000 -4075.000000 -0.200000
854825.875000 987899.125000 -4075.000000 -0.200000
854860.875000 987899.125000 -4075.000000 -0.200000
854895.875000 987899.125000 -4075.000000 -0.200000
854930.875000 987899.125000 -4075.000000 -0.200000
854965.875000 987899.125000 -4075.000000 -0.200000
855000.875000 987899.125000 -4075.000000 -0.200000
854405.875000 987936.125000 -4075.000000 -0.200000
854440.875000 987936.125000 -4075.000000 -0.200000
854475.875000 987936.125000 -4075.000000 -0.200000
854510.875000 987936.125000 -4075.000000 -0.200000
854545.875000 987936.125000 -4075.000000 -0.200000
854580.875000 987936.125000 -4075.000000 -0.200000
854615.875000 987936.125000 -4075.000000 -0.200000
854650.875000 987936.125000 -4075.000000 -0.200000
854685.875000 987936.125000 -4075.000000 -0.200000
854720.875000 987936.125000 -4075.000000 -0.200000
854755.875000 987936.125000 -4075.000000 -0.200000
854790.875000 987936.125000 -4075.000000 -0.200000
854825.875000 987936.125000 -4075.000000 -0.200000
854860.875000 987936.125000 -4075.000000 -0.200000
854895.875000 987936.125000 -4075.000000 -0.200000
854930.875000 987936.125000 -4075.000000 -0.200000
854965.875000 987936.125000 -4075.000000 -0.200000
855000.875000 987936.125000 -4075.000000 -0.200000
854370.875000 987973.125000 -4075.000000 -0.200000
854405.875000 987973.125000 -4075.000000 -0.200000
854440.875000 987973.125000 -4075.000000 -0.200000
854475.875000 987973.125000 -4075.000000 -0.200000
854510.875000 987973.125000 -4075.000000 -0.200000
854545.875000 987973.125000 -4075.000000 -0.200000
854580.875000 987973.125000 -4075.000000 -0.200000
854615.875000 987973.125000 -4075.000000 -0.200000
854650.875000 987973.125000 -4075.000000 -0.200000
854685.875000 987973.125000 -4075.000000 -0.200000
854720.875000 987973.125000 -4075.000000 -0.200000
854755.875000 987973.125000 -4075.000000 -0.200000
854790.875000 987973.125000 -4075.000000 -0.200000
854825.875000 987973.125000 -4075.000000 -0.200000
854860.875000 987973.125000 -4075.000000 -0.200000
854895.875000 987973.125000 -4075.000000 -0.200000
854930.875000 987973.125000 -4075.000000 -0.200000
854965.875000 987973.125000 -4075.000000 -0.200000
855000.875000 987973.125000 -4075.000000 -0.200000
854370.875000 988010.125000 -4075.000000 -0.200000
854405.875000 988010.125000 -4075.000000 -0.200000
854440.875000 988010.125000 -4075.000000 -0.200000
854475.875000 988010.125000 -4075.000000 -0.200000
854510.875000 988010.125000 -4075.000000 -0.200000
854545.875000 988010.125000 -4075.000000 -0.200000
854580.875000 988010.125000 -4075.000000 -0.200000
854615.875000 988010.125000 -4075.000000 -0.200000
854650.875000 988010.125000 -4075.000000 -0.200000
854685.875000 988010.125000 -4075.000000 -0.200000
854720.875000 988010.125000 -4075.000000 -0.200000
854755.875000 988010.125000 -4075.000000 -0.200000
854790.875000 988010.125000 -4075.000000 -0.200000
854825.875000 988010.125000 -4075.000000 -0.200000
854860.875000 988010.125000 -4075.000000 -0.200000
854895.875000 988010.125000 -4075.000000 -0.200000
854930.875000 988010.125000 -4075.000000 -0.200000
854965.875000 988010.125000 -4075.000000 -0.200000
855000.875000 988010.125000 -4075.000000 -0.200000
854335.875000 988047.125000 -4075.000000 -0.200000
854370.875000 988047.125000 -4075.000000 -0.200000
854405.875000 988047.125000 -4075.000000 -0.200000
854440.875000 988047.125000 -4075.000000 -0.200000
854475.875000 988047.125000 -4075.000000 -0.200000
854510.875000 988047.125000 -4075.000000 -0.200000
854545.875000 988047.125000 -4075.000000 -0.200000
854580.875000 988047.125000 -4075.000000 -0.200000
854615.875000 988047.125000 -4075.000000 -0.200000
854650.875000 988047.125000 -4075.000000 -0.200000
854685.875000 988047.125000 -4075.000000 -0.200000
854720.875000 988047.125000 -4075.000000 -0.200000
854755.875000 988047.125000 -4075.000000 -0.200000
854790.875000 988047.125000 -4075.000000 -0.200000
854825.875000 988047.125000 -4075.000000 -0.200000
854860.875000 988047.125000 -4075.000000 -0.200000
854895.875000 988047.125000 -4075.000000 -0.200000
854930.875000 988047.125000 -4075.000000 -0.200000
854965.875000 988047.125000 -4075.000000 -0.200000
855000.875000 988047.125000 -4075.000000 -0.200000
854335.875000 988084.125000 -4075.000000 -0.200000
854370.875000 988084.125000 -4075.000000 -0.200000
854405.875000 988084.125000 -4075.000000 -0.200000
854440.875000 988084.125000 -4075.000000 -0.200000
854475.875000 988084.125000 -4075.000000 -0.200000
854510.875000 988084.125000 -4075.000000 -0.200000
854545.875000 988084.125000 -4075.000000 -0.200000
